Pokemon,Color
gengar,brown
gengar-gmax,gray
gengar-mega,brown
geodude,brown
geodude-alola,blue
gholdengo,gray
gible,brown
gigalith,gray
gimmighoul,gray
gimmighoul-roaming,red
girafarig,gray
giratina-altered,purple
giratina-origin,gray
glaceon,gray
glalie,purple
glalie-mega,white
glameow,blue
glastrier,gray
gligar,red
glimmet,brown
glimmora,brown
gliscor,brown
gloom,gray
gogoat,gray
golbat,gray
goldeen,purple
golduck,gray
golem,green
golem-alola,green
golett,gray
golisopod,brown
golurk,pink
goodra,brown
goodra-hisui,white
goomy,brown
gorebyss,gray
gossifleur,gray
gothita,gray
gothitelle,white
gothorita,gray
gourgeist-average,brown
gourgeist-average,brown
gourgeist-large,gray
gourgeist-large,gray
gourgeist-small,gray
gourgeist-small,gray
gourgeist-super,gray
gourgeist-super,gray
grafaiai,gray
granbull,brown
grapploct,gray
graveler,gray
graveler-alola,brown
great-tusk,white
greavard,brown
greedent,white
greninja,purple
greninja-ash,gray
greninja-battle-bond,gray
grimer,gray
grimer-alola,green
grimmsnarl,gray
grimmsnarl-gmax,blue
grookey,gray
grotle,gray
groudon,red
groudon-primal,white
grovyle,brown
growlithe,gray
growlithe-hisui,gray
grubbin,brown
grumpig,brown
gulpin,blue
gumshoos,red
gumshoos-totem,brown
gurdurr,brown
guzzlord,brown
gyarados,gray
gyarados-mega,brown
hakamo-o,gray
happiny,brown
hariyama,gray
hatenna,gray
hatterene,gray
hatterene-gmax,gray
hattrem,gray
haunter,white
hawlucha,green
haxorus,white
heatmor,gray
heatran,gray
heliolisk,brown
helioptile,brown
heracross,yellow
heracross-mega,gray
herdier,gray
hippopotas,gray
hippowdon,blue
hitmonchan,brown
hitmonlee,brown
hitmontop,gray
ho-oh,gray
honchkrow,yellow
honedge,brown
hoopa,brown
hoopa-unbound,white
hoothoot,blue
hoppip,green
horsea,gray
houndoom,yellow
houndoom-mega,gray
houndour,yellow
houndstone,green
huntail,blue
hydreigon,gray
hypno,gray
igglybuff,yellow
illumise,green
impidimp,white
incineroar,green
indeedee-female,blue
indeedee-male,brown
infernape,gray
inkay,brown
inteleon,gray
inteleon-gmax,brown
iron-bundle,gray
iron-hands,gray
iron-jugulis,gray
iron-leaves,green
iron-moth,gray
iron-thorns,gray
iron-treads,brown
iron-valiant,red
ivysaur,gray
jangmo-o,pink
jellicent,gray
jigglypuff,blue
jirachi,brown
jolteon,gray
joltik,white
jumpluff,brown
jynx,purple
kabuto,green
kabutops,gray
kadabra,gray
kakuna,gray
kangaskhan,gray
kangaskhan-mega,gray
karrablast,gray
kartana,gray
kecleon,green
keldeo-ordinary,pink
keldeo-resolute,brown
kilowattrel,white
kingambit,gray
kingdra,brown
kingler,gray
kingler-gmax,gray
kirlia,gray
klang,orange
klawf,blue
kleavor,red
klefki,gray
klink,green
klinklang,blue
koffing,gray
komala,gray
kommo-o,gray
kommo-o-totem,blue
koraidon,brown
krabby,blue
kricketot,gray
kricketune,brown
krokorok,white
krookodile,brown
kubfu,green
kyogre,white
kyogre-primal,gray
kyurem,gray
kyurem-black,gray
kyurem-white,yellow
lairon,brown
lampent,gray
landorus-incarnate,purple
landorus-therian,red
lanturn,green
lapras,yellow
lapras-gmax,gray
larvesta,gray
larvitar,white
latias,brown
latias-mega,gray
latios,gray
latios-mega,blue
leafeon,purple
leavanny,white
lechonk,purple
ledian,green
ledyba,brown
lickilicky,brown
lickitung,gray
liepard,gray
lileep,brown
lilligant,purple
lilligant-hisui,brown
lillipup,gray
linoone,gray
linoone-galar,yellow
litleo,gray
litten,gray
litwick,purple
lokix,gray
lombre,gray
lopunny,gray
lopunny-mega,brown
lotad,blue
loudred,red
lucario,blue
lucario-mega,brown
ludicolo,gray
lugia,gray
lumineon,gray
lunala,purple
lunatone,gray
lurantis,gray
lurantis-totem,gray
luvdisc,blue
luxio,brown
luxray,blue
lycanroc-dusk,gray
lycanroc-midday,blue
lycanroc-midnight,purple
mabosstiff,brown
machamp,gray
machamp-gmax,gray
machoke,gray
machop,gray
magby,gray
magcargo,brown
magearna,gray
magearna-original,white
magikarp,yellow
magmar,gray
magmortar,blue
magnemite,gray
magneton,purple
magnezone,purple
makuhita,gray
malamar,purple
mamoswine,green
manaphy,blue
mandibuzz,red
manectric,gray
manectric-mega,gray
mankey,gray
mantine,yellow
mantyke,white
maractus,gray
mareanie,gray
mareep,gray
marill,gray
marowak,brown
marowak-alola,gray
marowak-alola,gray
marowak-totem,gray
marowak-totem,gray
marshadow,red
marshtomp,yellow
maschiff,blue
masquerain,gray
maushold,gray
maushold-family-of-three,yellow
mawile,gray
mawile-mega,gray
medicham,gray
medicham-mega,red
meditite,gray
meganium,brown
melmetal,gray
melmetal-gmax,gray
meloetta-aria,blue
meloetta-pirouette,gray
meltan,blue
meowscarada,gray
meowstic-female,brown
meowstic-male,blue
meowth,brown
meowth-alola,gray
meowth-galar,blue
meowth-gmax,purple
mesprit,brown
metagross,gray
metagross-mega,green
metang,gray
metapod,gray
mew,yellow
mewtwo,brown
mewtwo-mega-x,gray
mewtwo-mega-y,purple
mienfoo,green
mienshao,brown
mightyena,gray
milcery,gray
milotic,yellow
miltank,purple
mime-jr,gray
mimikyu-disguised,gray
mimikyu-totem-disguised,blue
minccino,white
minior-blue,gray
minior-blue-meteor,blue
minior-blue-meteor,blue
minior-green,gray
minior-green-meteor,gray
minior-green-meteor,gray
minior-indigo,gray
minior-indigo-meteor,purple
minior-indigo-meteor,purple
minior-orange,gray
minior-orange-meteor,brown
minior-orange-meteor,brown
minior-red,brown
minior-red-meteor,green
minior-red-meteor,green
minior-violet,gray
minior-violet-meteor,gray
minior-violet-meteor,gray
minior-yellow,gray
minior-yellow-meteor,gray
minior-yellow-meteor,gray
minun,gray
miraidon,yellow
misdreavus,blue
mismagius,green
moltres,gray
moltres-galar,purple
monferno,gray
morelull,white
morgrem,blue
morpeko-full-belly,gray
morpeko-hangry,purple
mothim,gray
mr-mime,gray
mr-mime-galar,brown
mr-rime,gray
mudbray,brown
mudkip,white
mudsdale,white
muk,brown
muk-alola,brown
munchlax,gray
munna,green
murkrow,gray
musharna,brown
nacli,white
naclstack,white
naganadel,gray
natu,gray
necrozma,brown
necrozma-dawn,brown
necrozma-dusk,brown
necrozma-ultra,gray
nickit,yellow
nidoking,gray
nidoqueen,gray
nidoran-f,gray
nidoran-m,gray
nidorina,gray
nidorino,gray
nihilego,red
nincada,gray
ninetales,green
ninetales-alola,pink
ninjask,brown
noctowl,blue
noibat,gray
noivern,gray
nosepass,brown
numel,gray
nuzleaf,gray
nymble,brown
obstagoon,gray
octillery,gray
oddish,gray
oinkologne,gray
oinkologne-female,brown
omanyte,blue
omastar,gray
onix,gray
oranguru,blue
orbeetle,gray
orbeetle-gmax,pink
oricorio-baile,green
oricorio-pau,green
oricorio-pom-pom,yellow
oricorio-sensu,blue
orthworm,white
oshawott,white
overqwil,gray
pachirisu,gray
palafin,gray
palafin-hero,gray
palkia,gray
palkia-origin,gray
palossand,gray
palpitoad,brown
pancham,brown
pangoro,gray
panpour,gray
pansage,brown
pansear,gray
paras,brown
parasect,gray
passimian,blue
patrat,brown
pawmi,gray
pawmo,brown
pawmot,gray
pawniard,gray
pelipper,red
perrserker,gray
persian,brown
persian-alola,brown
petilil,gray
phanpy,red
phantump,purple
pheromosa,red
phione,brown
pichu,gray
pidgeot,gray
pidgeot-mega,red
pidgeotto,gray
pidgey,gray
pidove,red
pignite,brown
pikachu,purple
pikachu-alola-cap,orange
pikachu-belle,gray
pikachu-cosplay,green
pikachu-gmax,red
pikachu-hoenn-cap,gray
pikachu-kalos-cap,gray
pikachu-libre,brown
pikachu-original-cap,gray
pikachu-partner-cap,gray
pikachu-phd,gray
pikachu-pop-star,white
pikachu-rock-star,green
pikachu-sinnoh-cap,green
pikachu-starter,gray
pikachu-unova-cap,brown
pikachu-world-cap,red
pikipek,brown
piloswine,gray
pincurchin,gray
pineco,green
pinsir,brown
pinsir-mega,gray
piplup,gray
plusle,gray
poipole,brown
politoed,yellow
poliwag,blue
poliwhirl,gray
poliwrath,blue
polteageist,gray
ponyta,brown
ponyta-galar,brown
poochyena,gray
popplio,gray
porygon,gray
porygon-z,brown
porygon2,brown
primarina,gray
primeape,gray
prinplup,gray
probopass,white
psyduck,brown
pumpkaboo-average,gray
pumpkaboo-average,gray
pumpkaboo-large,gray
pumpkaboo-large,gray
pumpkaboo-small,gray
pumpkaboo-small,gray
pumpkaboo-super,gray
pumpkaboo-super,gray
pupitar,red
purrloin,brown
purugly,gray
pyroar,pink
pyukumuku,white
quagsire,white
quaquaval,brown
quaxly,white
quaxwell,white
quilava,gray
quilladin,gray
qwilfish,gray
qwilfish-hisui,gray
raboot,red
rabsca,brown
raichu,brown
raichu-alola,pink
raikou,brown
ralts,blue
rampardos,gray
rapidash,yellow
rapidash-galar,brown
raticate,gray
raticate-alola,brown
raticate-totem-alola,gray
rattata,pink
rattata-alola,blue
rayquaza,yellow
rayquaza-mega,blue
regice,brown
regidrago,gray
regieleki,green
regigigas,gray
regirock,gray
registeel,gray
relicanth,white
rellor,gray
remoraid,gray
reshiram,gray
reuniclus,red
revavroom,red
rhydon,brown
rhyhorn,brown
rhyperior,gray
ribombee,gray
ribombee-totem,gray
rillaboom,brown
rillaboom-gmax,blue
riolu,green
roaring-moon,white
rockruff,gray
rockruff-own-tempo,brown
roggenrola,gray
rolycoly,gray
rookidee,gray
roselia,green
roserade,green
rotom,gray
rotom-fan,yellow
rotom-frost,gray
rotom-heat,gray
rotom-mow,gray
rotom-wash,gray
rowlet,gray
rufflet,gray
runerigus,brown
sableye,brown
sableye-mega,blue
salamence,gray
salamence-mega,gray
salandit,gray
salazzle,gray
salazzle-totem,blue
samurott,blue
samurott-hisui,green
sandaconda,yellow
sandaconda-gmax,purple
sandile,yellow
sandshrew,gray
sandshrew-alola,gray
sandslash,brown
sandslash-alola,brown
sandy-shocks,yellow
sandygast,gray
sawk,pink
sawsbuck,gray
scatterbug,gray
sceptile,gray
sceptile-mega,blue
scizor,green
scizor-mega,pink
scolipede,gray
scorbunny,gray
scovillain,gray
scrafty,gray
scraggy,gray
scream-tail,green
scyther,brown
seadra,gray
seaking,gray
sealeo,blue
seedot,gray
seel,gray
seismitoad,gray
sentret,blue
serperior,brown
servine,brown
seviper,gray
sewaddle,gray
sharpedo,gray
sharpedo-mega,gray
shaymin-land,white
shaymin-sky,gray
shedinja,gray
shelgon,gray
shellder,brown
shellos,gray
shelmet,gray
shieldon,gray
shiftry,gray
shiinotic,gray
shinx,yellow
shroodle,gray
shroomish,gray
shuckle,blue
shuppet,yellow
sigilyph,green
silcoon,brown
silicobra,gray
silvally,brown
simipour,blue
simisage,gray
simisear,brown
sinistea,gray
sirfetchd,gray
sizzlipede,green
skarmory,gray
skeledirge,gray
skiddo,gray
skiploom,blue
skitty,green
skorupi,brown
skrelp,brown
skuntank,gray
skwovet,red
slaking,gray
slakoth,brown
sliggoo,gray
sliggoo-hisui,gray
slither-wing,green
slowbro,white
slowbro-galar,blue
slowbro-mega,gray
slowking,yellow
slowking-galar,pink
slowpoke,gray
slowpoke-galar,gray
slugma,blue
slurpuff,gray
smeargle,gray
smoliv,pink
smoochum,gray
sneasel,green
sneasel-hisui,gray
sneasler,gray
snivy,gray
snom,gray
snorlax,brown
snorlax-gmax,green
snorunt,gray
snover,green
snubbull,brown
sobble,gray
solgaleo,green
solosis,gray
solrock,blue
spearow,brown
spectrier,white
spewpa,gray
spheal,gray
spidops,gray
spinarak,gray
spinda,red
spiritomb,brown
spoink,gray
sprigatito,orange
spritzee,gray
squawkabilly,yellow
squawkabilly-blue-plumage,brown
squawkabilly-white-plumage,gray
squawkabilly-yellow-plumage,gray
squirtle,gray
stakataka,blue
stantler,white
staraptor,gray
staravia,pink
starly,yellow
starmie,gray
staryu,gray
steelix,gray
steelix-mega,gray
steenee,gray
stonjourner,gray
stoutland,yellow
stufful,gray
stunfisk,gray
stunfisk-galar,brown
stunky,gray
sudowoodo,gray
suicune,green
sunflora,white
sunkern,white
surskit,white
swablu,gray
swadloon,gray
swalot,red
swampert,yellow
swampert-mega,white
swanna,brown
swellow,gray
swinub,brown
swirlix,gray
swoobat,gray
sylveon,blue
tadbulb,white
taillow,brown
talonflame,gray
tandemaus,yellow
tangela,yellow
tangrowth,gray
tapu-bulu,green
tapu-fini,pink
tapu-koko,gray
tapu-lele,purple
tarountula,brown
tatsugiri,red
tatsugiri-droopy,white
tatsugiri-stretchy,gray
tauros,gray
tauros-paldea-aqua-breed,gray
tauros-paldea-blaze-breed,gray
tauros-paldea-combat-breed,green
teddiursa,brown
tentacool,blue
tentacruel,gray
tepig,gray
terrakion,gray
thievul,brown
throh,gray
thundurus-incarnate,yellow
thundurus-therian,purple
thwackey,gray
timburr,blue
ting-lu,yellow
tinkatink,red
tinkaton,gray
tinkatuff,blue
tirtouga,red
toedscool,gray
toedscruel,gray
togedemaru,green
togedemaru-totem,gray
togekiss,gray
togepi,green
togetic,brown
torchic,green
torkoal,pink
tornadus-incarnate,white
tornadus-therian,gray
torracat,gray
torterra,red
totodile,pink
toucannon,gray
toxapex,red
toxel,brown
toxicroak,pink
toxtricity-amped,gray
toxtricity-amped-gmax,gray
toxtricity-amped-gmax,gray
toxtricity-low-key,white
toxtricity-low-key-gmax,gray
toxtricity-low-key-gmax,gray
tranquill,red
trapinch,gray
treecko,yellow
trevenant,gray
tropius,gray
trubbish,blue
trumbeak,red
tsareena,yellow
turtonator,gray
turtwig,gray
tympole,blue
tynamo,brown
type-null,gray
typhlosion,brown
typhlosion-hisui,gray
tyranitar,gray
tyranitar-mega,blue
tyrantrum,gray
tyrogue,gray
tyrunt,gray
umbreon,gray
unfezant,gray
unown,red
ursaluna,gray
ursaring,pink
urshifu-rapid-strike,gray
urshifu-rapid-strike-gmax,brown
urshifu-single-strike,white
urshifu-single-strike-gmax,yellow
uxie,white
vanillish,purple
vanillite,brown
vanilluxe,white
vaporeon,gray
varoom,gray
veluza,gray
venipede,yellow
venomoth,purple
venonat,yellow
venusaur,gray
venusaur-gmax,gray
venusaur-mega,gray
vespiquen,gray
vibrava,gray
victini,brown
victreebel,blue
vigoroth,pink
vikavolt,gray
vikavolt-totem,purple
vileplume,blue
virizion,green
vivillon,brown
volbeat,gray
volcanion,gray
volcarona,blue
voltorb,blue
voltorb-hisui,brown
vullaby,brown
vulpix,green
vulpix-alola,gray
wailmer,red
wailord,brown
walking-wake,white
walrein,gray
wartortle,brown
watchog,gray
wattrel,gray
weavile,blue
weedle,brown
weepinbell,brown
weezing,gray
weezing-galar,red
whimsicott,white
whirlipede,gray
whiscash,gray
whismur,gray
wigglytuff,brown
wiglett,brown
wimpod,gray
wingull,green
wishiwashi-school,gray
wishiwashi-solo,gray
wo-chien,gray
wobbuffet,brown
woobat,gray
wooloo,gray
wooper,brown
wooper-paldea,gray
wormadam-plant,brown
wormadam-sandy,yellow
wormadam-trash,brown
wugtrio,blue
wurmple,brown
wynaut,yellow
wyrdeer,brown
xatu,yellow
xerneas,gray
xurkitree,gray
yamask,brown
yamask-galar,gray
yamper,gray
yanma,blue
yanmega,green
yungoos,blue
yveltal,purple
zacian,gray
zacian-crowned,brown
zamazenta,brown
zamazenta-crowned,gray
zangoose,yellow
zapdos,gray
zapdos-galar,gray
zarude,brown
zarude-dada,gray
zebstrika,yellow
zekrom,gray
zeraora,green
zigzagoon,blue
zigzagoon-galar,brown
zoroark,gray
zoroark-hisui,gray
zorua,purple
zorua-hisui,gray
zubat,gray
zweilous,gray
zygarde-10,gray
zygarde-10-power-construct,red
zygarde-50,green
zygarde-50-power-construct,blue
zygarde-complete,gray
